Kurs;Lektionsname;Art;Minuten Timeout;Eicheln;Reihenfolge in Kurs;aktiviert zu Beginn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 1;Info;0;13;1;1;Dies ist eine <b>Einführung</b>;Text und Bilder sind gemeinsam möglich;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;Das ist ein Bild, an welchem wir keine Rechte haben.;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 2;Video;0;16;2;1;Hier haben wir versucht, ein Video einzubauen;_slide_;[VIDEO]<iframe width="800" height="600" src="https://www.youtube.com/embed/k_GM1JA608Y?rel=0" frameborder="0" gesture="media" allow="encrypted-media" allowfullscreen></iframe>;_slide_;[VIDEO]https://media.giphy.com/media/3o6vXGPiEH5yY7QORi/giphy.mp4;_slide_;hoffentlich hat das geklappt…;gutes Video oder?;:*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Messaging-Apps;Walled Gardens-Alternativen;Info;0;3;4;0;Auch wenn man als langfristige Alternative ein offenes Protokoll bevorzugen sollte, wollen wir ein paar Messaging-Apps ohne dies vorstellen, welche sich im Vergleich der vielen recht gut schlagen...;_slide_;Threema (2,99€);<img src="https://lh3.googleusercontent.com/tfY9-PhmOZXzuVL-mOYtqIWqlevIJSei829aGlzIBHZFdmFAiKOCqR-bDWSLCkEn3bSd=w300"  alt="Threema Logo" style="float:below">;Threema war einer der ersten Messaging-Apps mit dem Fokus auf Sicherheit. Durch die komplette Verschlüsselung der Nachrichten, soll es weder dem Betreiber, noch Angreifern möglich sein, die Nachrichten mitzulesen. Da der Betreiber allerdings ein gewöhnliches Geschäftsmodell nutzt, bei der die App erworben wird, hat man keine Einsicht in den Quellcode. Dadurch ist die Nutzung stark an Vertrauen in den Betreiber gekoppelt.;_slide_;Signal (kostenlos);<img src="https://lh5.ggpht.com/jKZCC5NR0uU01scYefDjUICueE59pEpamDz3J3LDAg3X-6DupmpsDysbFUc8WUFDgfk=w300"  alt="Signal Logo" style="float:below">;Diese Messaging-App benutzt auch Ende-zu-Ende-Verschlüsselung. Hiermit können nicht nur Textnachrichten versendet, sondern auch sicher telefoniert werden. Der Whistleblower Edward Snowden empfiehlt Signal wegen der hohen Sicherheit und das OpenSource Programm hat generell einen guten Ruf. Leider hat man nicht die Möglichkeit, ohne Google-Dienste oder ohne seine Telefonnummer als Identifikation die App zu nutzen. An einer googlelosen Variante wird wohl aber gerade gearbeitet.;_slide_;Telegram (kostenlos);<img src="https://lh3.googleusercontent.com/jVXglyWWL5J2y1vRN-7Jy3_ozvvZc4w5486IAkbAIrWcNN_vn7YuIvhc1JDtGq43BqGl=w300"  alt="Telegram Logo" style="float:below">;Telegram empfehlen wir nicht. Wir haben es nur aufgenommen, da es eine populäre WhatsApp Alternative ist. Telegram ist jedoch nicht vertrauenswürdig, was an einer zweifelhaften Verschlüsselung, die nicht in Gruppenchats funktioniert und standardmäßig gar nicht aktiviert ist, und den Betreibern liegt, deren Motivationen unklar sind. Experten raten von Telegram zur sicheren Kommunikation ab.;_slide_;Wire (kostenlos);<img src="https://lh3.googleusercontent.com/gcw6-BzPp0HX3lSFwlsBOZ5ZKKkBXAzPRtco7aAYqe0gLK3jrWy_kCZ9uvN2zQLSoV8=w300"  alt="Wire Logo" style="float:below">;"Nicht nur Textnachrichten und Sprachnachrichten können über den Messenger Wire versendet werden, sondern auch GIFs. Dabei ist alles Ende-zu-Ende-verschlüsselt und hat ein schönes Design. In Gruppenchats sind bis zu 128 Mitglieder möglich. Positiv ist, dass die App ihren kompletten Quellcode öffentlich einsehbar gemacht hat. Unklar bei Wire ist, wie sich die App finanziert, da sie im Gegensatz zu Signal nicht von einer Stiftung unterstützt wird. Ansonsten ist Wire eine gar nicht so schlechte Alternative (wenn man davon absieht, dass sie immer noch einen "Walled Garden" erzeugt).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deep Web;Deep, Dark, - Lost!;Info;0;4;1;0;Eine Einführung ins Deep Web und Dark Nets.;_slide_;Allgemein lässt sich das World Wide Web (WWW) in zwei Bereiche einteilen:;<i>Surface Web</i> und <i>Deep Web</i>.;_slide_;<b>Surface Web:</b>;Unter dem Surface Web versteht man diejenigen Inhalte und Webseiten, welche über Suchmaschinen wie z.B. Google, Bing, Yahoo oder DuckDuckGo gefunden werden können.;_slide_;<b>Deep Web:</b>;Hierzu zählen alle nicht referenzierten Inhalte des World Wide Web;Wird z.B. über die Webseite einer Fluggesellschaft nach Flügen gesucht, so sind diese Ergebnisse nicht referenziert.;_slide_;Die Flüge liegen in einer Datenbank der Fluggesellschaft und können über eine allgemeine Suchmaschine nicht gefunden werden.;Sie zählen damit zum Deep Web.;Im weiteren Sinne sind dies also Daten, die zwar online verfügbar, aber “vergraben” sind. Sie sind nicht über Links erreichbar.;_slide_;Auch Inhalte, die hinter einer “Paywall” liegen, also nur mit bezahlten Accounts oder generell nicht ohne LogIn im entsprechenden Netzwerk zugänglich sind, zählen dazu.;_slide_;<img src="https://www.deepdotweb.com/wp-content/uploads/2015/06/deep-web-300x1971.jpg"  alt="Der Eisberg des Webs" style="float:below">;_slide_;<b>Dark Web:</b>;Das Dark Web ist ein Teil des Deep Webs.;Normalerweise verweisen Webseiten auf andere Seiten, welche wiederum auf weitere verweisen u.s.w...;Es gibt jedoch Webseiten, auf die keine Verweise existieren. Kennt man die genaue URL (Adresse), sind sie erreichbar, ansonsten bleiben sie verborgen. Dies gilt z.B. für unveröffentliche Bilder oder Blogeinträge, sowie Subdomain-Namen (fiktives Beispiel: MITARBEITER-LOGIN.bahn.de).;_slide_;Ein weiteres Beispiel des Dark Web sind virtuelle private Netzwerke (VPNs).;Das Internet ist ein Netzwerk bestehend aus Netzwerken, von denen einige privat sind. Um sich z.B. mit dem eigenen Firmennetzwerk von zuhause aus zu verbinden, sind spezielle Einstellungen oder Software nötig. Für normale Internetnutzer bleiben die Firmendaten verborgen.;_slide_;<b>DarkNets</b>;Diese Bilden das DarkWeb.;In letzter Zeit in den Medien relevant wurden sogenannte DarkNets, welche eine Art Netzwerkform beschreiben, zu der man spezielles Wissen oder anderweitige Mittel benötigt, um Zugriff zu erhalten. Zum Beispiel gibt es .onion (z.B. “Z5dF89vserZe8.onion”) Seiten im Tor-Netzwerk, die nur eine Handvoll Leute kennen und die somit privat sind.;Andere DarkNets benötigen spezielle Software und Einladungen, die nur an Vertrauenspersonen gehen.;Streng genommen zählen Firmen-VPNs also auch zu diesen, sind aber meist nicht damit gemeint.;;;;;;;;;;;;;
Deep Web;TOR;Info;0;4;2;0;<b>TOR:</b>;Das Tor-Projekt (ehemals "The Onion Routing") ist eine Routing-Methode, die die IP-Adresse des Nutzers verbergen soll und dadurch Anonymität im Web ermöglicht. Da der Nutzer-Computer sich mit einem Tor-Knoten verbindet, können so auch Netzwerksperren auf spezielle Seiten umgangen werden, sofern nicht alle Tor-Knoten selbst gesperrt sind (auch dafür gibt es Lösungen).;_slide_;Dies ermöglicht zum einen, dass Aktivisten in Repressiven Ländern unerkannt im Internet arbeiten und auf zensierte Inhalte zugreifen können, aber zum anderen auch, dass illegale Tätigkeiten (File-Sharing, Drogenhandel) im Internet anonym getätigt werden können.;_slide_;Die zweite Funktion von Tor ist das sogenannte onion-routing, hier können anonym Server gehostet werden und auf diese kann nur innerhalb des Tor Netzwerkes zugegriffen werden.;Da hier spezielle Software genutzt werden muss und einige .onion Adressen nur bestimmten Kreisen bekannt sind, zählt das onion-routing zu den DarkNets. Bekannt wurden diese speziell im Zusammenhang mit Silk-Road und ähnlichen Drogenmärkten, die auf solchen onion-Servern abliefen/ablaufen.;_slide_;Allerdings bieten diese auch gesicherte Kommunikation für Aktivisten, Journalisten (mit Quellen) und allen, die ihre Internetkommunikation lieber unüberwacht halten möchten. (Stichwort Vorratsdatenspeicherung, NSA…);So war das Tor-Projekt 2011 Gewinner des Preises für gesellschaftlichen Nutzen der Free Software Foundation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deep Web;TOR benutzen;Info;0;4;3;0;Wenn du TOR einmal ausprobieren willst, solltest du dir das TOR-Browser-Bundle für dein Betriebssystem herunterladen.;_slide_;Je nachdem, mit welchen Knoten du auf der Welt verbunden bist (du kannst jederzeit eine neue Verbindung anfordern), kann das surfen etwas langsamer vonstatten gehen.;_slide_;Der Vorteil an TOR ist, dass jemand, der deinen Internetverkehr überwacht, nur sieht, dass du mit dem ersten Knoten verbunden bist. Was danach geschieht, bleibt im TOR-Netzwerk verborgen.;_slide_;Sollte der Überwacher allerdings sowohl deine Eingangs- als auch Ausgangsknoten selbst betreiben (was sehr sehr unwahrscheinlich ist) so kann er eventuell sehen, auf welcher Seite du surfst. Nach 10 Minuten wird die Verbindung spätestens jedoch schon wieder neu aufgebaut.;_slide_;Ein weiterer großer Vorteil daran, TOR zu nutzen, ist, dass diejenigen, welche TOR unbedingt brauchen (Aktivisten unter repressiven Regimes z.B.) in der Masse verschwinden, je mehr Leute TOR benutzen.;_slide_;Ähnlich der E-Mail Verschlüsselung, die ein gezieltes Beobachten der Verschlüsseler schwerer macht, je mehr Leute es standardmäßig nutzen.;_slide_;Nutzungsmöglichkeiten:;Wie in der TOR Lektion beschrieben, kann man TOR einfach dazu nutzen, seinen gewöhnlichen Internetverkehr zu anonymisieren, oder die DarkNets zu besuchen. Ein guter Einstieg dafür ist das "Hidden Wiki", auf welchem man einige Server-Adressen finden kann.;_slide_;Ob du dafür bereit bist, sagt dir die Lektion: F1t fuers D4rkN3t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deep Web;Deep- und Darkweb Quiz;Quiz;18000000;5;4;0;[QUIZ]Das Deep Web ist;1Größer als das Surface Web;0Das Gleiche wie das Darknet;1Teil des World Wide Web;0Ein abgegrenzter Bereich des Internets;_slide_;[QUIZ]Typische Teile eines Deep Web sind z.B.;1Bibliothek-Datenbänke;1Alle Inhalte, die man nicht über Verlinkungen erreichen kann;1Webseiteninterne Suchergebnisse;0Suchmaschinenergebnisse;_slide_;[QUIZ]Legal ist…;1Der Zugriff auf das Tor-Netzwerk;0Alle Aktivitäten innerhalb des Tor-Netzwerkes;1Einen Dienst im Tor-Netzwerk anzubieten;1Sich den Client “Onion Proxy” herunterzuladen;_slide_;[QUIZ]Das Tor-Netzwerk;1Ist bekannt für Anonymität;0Ist zu 100% anonym;1Ist an dem Aufbau eines VPN angelehnt;0Ist erschaffen worden, um anonym Torheiten begehen zu können;_slide_;[CERT]12;Bravo! Du hast bestanden. Das war gar nicht so einfach!;Schade. Du hast leider nicht bestanden. Aber wenn du fleißig lernst, klappt es sicher beim nächsten mal!;;;;;;;;;;;;;;;;;;;
Deep Web;F1t fuers D4rkN3t;Quiz;7200000;4;5;0;Bist du bereit, im .onion-Web zu surfen?;Beantworte folgende Fragen richtig und stelle dein Wissen unter Beweis!;_slide_;[QUIZ]Nach möglichen Seiten im Tor-Netzwerk zu suchen (z.B. im HiddenWiki) ist…;1legal!;0illegal!;_slide_;[QUIZ]Zu lesen, ob Leute suizid begehen wollen, über Drogengeschichten erzählen oder wie man eine Waffe baut ist…;1legal!;0illegal!;_slide_;[QUIZ]Sich Drogen wie Marijuana oder Koks bei jemandem zu bestellen ist…;0legal!;1illegal!;_slide_;[QUIZ]Sich einen Account in einem Forum zu machen ist…;1legal!;0illegal!;_slide_;[QUIZ]Tier-, Kinder- oder Gewaltpornos anzusehen ist…;0legal!;1illegal!;_slide_;[QUIZ]Einen Hitman zu engagieren ist…;0legal!;1illegal!;_slide_;[QUIZ]Anonyme Foren zu besuchen und dort zu schreiben ist…;1legal!;0illegal!;_slide_;[QUIZ]Rainbowtables (Passwortdatenbanken) herunterzuladen ist…;1legal!;0illegal!;_slide_;[QUIZ]Kopiergeschützte Dateien auszutauschen oder herunterzuladen ist…;0illegal!;1legal!;_slide_;[QUIZ]Waffen oder Sprengstoffzutaten bestellen ist…;0legal!;1illegal!;_slide_;[CERT]10;Super, mit etwas Menschenverstand sollte dir nichts passieren!;Naja, wenn du diese Fragen noch nicht sicher beantworten kannst, dann bleibe lieber im Clearweb!
Verschlüsselung;TrueCrypt;Info;0;3;1;0;Hast du dir schon einmal Gedanken darüber gemacht, dass deine Daten (falls du einen Windows Rechner nutzt) nur durch dein Passwort des Windows Benutzerkontos geschützt sind (wenn du dies überhaupt eingerichtet hast)?;Falls nicht, ist es auf jeden Fall an der Zeit! Ein einfaches und effektives Tool hierfür ist TrueCrypt.;_slide_;Es ist ein Verschlüsselungs-Werkzeug und verfügt über umfangreiche Möglichkeiten, seine Daten vor Zugriffen zu schtzen. Es lassen sich einzelne Dateien, Partitionen, Laufwerke und Ordner verschlüsseln. Zusätzlich lässt sich das ganze System vor unbefugtem Zutritt sichern, indem das Betriebssystem nur mit korrektem Passwort startet. Auch auf anderen Betriebssystemen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verschlüsselung;Die mysteriöse Geschichte von TC;Info;0;4;2;0;Truecrypt ist ein Tool zur Verschlüsselung jeglicher Daten. Es ist kompatibel über verschiedene Betriebssysteme und (vermutlich) immernoch eines der sichersten Methoden, um seine Daten für sich zu behalten.;_slide_;An Truecrypt besonders interessant ist allerdings die Geschichte des Programms.;Lange Zeit galt es als super sicher, auch nachdem es von Experten analysiert wurde und der Quellcode offen verfügbar wurde.;_slide_;Die Software tauchte 2004 von einem anonymen Entwicklerteam auf und erreichte im Juni die Version 2.0 unter OpenSource Lizenz, nachdem es zuerst einige rechtliche Probleme gab, die durch einen Mitarbeiter einer anderen Sicherheitssoftware-Firma entstanden waren.;_slide_;In den folgenden Jahren wurde Truecrypt stetig weiterentwickelt, bis es ein plötzliches und überraschendes Ende der Entwicklung gab: ab Mai 2014 verwies die offizielle Seite plötzlich auf eine Sourceforge Seite, auf der vor weiterer Verwendung gewarnt wurde, da "ungelöste Sicherheitslücken" im Code bestünden.;_slide_;Gleichzeitig wurde die letzte Version 7.2 herausgegeben, welche nur noch Entschlüsselung bestehender Truecrypt-Daten erlaubte. Außerdem wurde empfohlen, bestehende Verschlüsselungsmechanismen der Betriebssysteme wie BitLocker zu nutzen.;_slide_;Tatsächlich wurde das Programm kurz zuvor jedoch als unüberwindbar eingestuft und bis heute konnten trotz mehrfacher Analyse keine so starken Sicherheitsrisikos gefunden werden, was das plötzliche Ende für viele zum Rätsel macht. Ein weiterer Indiz auf andere Gründe ist die Empfehlung von BitLocker, was viele Sicherheitsexperten verwunderte. Auch zu Snowdens Enthüllungen gehörte, dass die NSA die Verschlüsselung nicht brechen konnten;_slide_;Die Crypto-Community entwickelte einige Theorien, die verbreiteste ist wohl, dass die Entwickler einen "National Security Letter" erhielten, also zur Aufgabe (oder alternativ Entwicklung einer Hintertür) von der US-Regierung gezwungen wurden. Eine weitere Möglichkeit ist, dass der Hauptentwickler ein 2012 festgenommener Boss von Drogenkartellen ist, der seitdem mit der US-Regierung kooperiert.;_slide_;Abschließend bleibt zu erwähnen, dass viele Crypto-Aktivisten Truecrypt noch immer nutzen, es gibt allerdings auch weiterentwickelte Abspaltungen wie VeraCrypt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verschlüsselung;Messaging;Info;0;4;3;0;Ein in letzter Zeit relativ publiker Aspekt der Kommunikation ist das (nicht) verschlüsselte Messaging.-lb-Der Platzhirsch WhatsApp baute im April 2016 eine Nachrichten-Verschlüsselung ein, um das Vertrauen seiner Nutzer zu erhalten.;Der Platzhirsch WhatsApp baute im April 2016 eine Nachrichten-Verschlüsselung ein, um das Vertrauen seiner Nutzer zu erhalten.;Denn es waren viele Alternativen für Datenschutz-bewusste Nutzer aufgekommen, nachdem WhatsApp schon häufiger mit Datenschutz Probleme hatte, inzwischen Facebook gehört und Snowden das Ausmaß der amerikanischen Überwachung offenbarte (und von WhatsApp abriet).;_slide_;Doch was bedeutet das eigentlich, Ende-zu-Ende Verschlüsselung?;Bei echter E2E-Encryption ist der Inhalt übertragener Daten niemals auslesbar, außer am Start- und Endgerät. Dafür können verschiedene Kryptografiemethoden verwendet werden, es gibt aber generell aktzeptierte Lösungen.;_slide_;Im Fall von WhatsApp wurde (angeblich) die beste aktuell bekannt Messaging-Verschlüsselung eingebaut, die von Signal. Das ist generell sehr begrüßenswert, wirft jedoch einige Probleme auf.;_slide_;Zum einen ist WhatsApp keineswegs OpenSource, man muss dem (inzwischen Facebook gehörenden) Unternehmen also vertrauen, dass die Verschlüsselung tatsächlich effektiv ist. Zwar kann nachgewiesen werden, dass ein bestimmtes Protokoll genutzt wird, es könnte aber zum Beispiel auch sein, dass WhatsApp sich selbst die Nachrichten im Klartext nebendran schickt. (Dass das über einen Trick tatsächlich möglich ist, kam am 13.01.17 heraus.);_slide_;Ein weiteres Problem ist das Sammeln von Meta-Daten.;Das bedeutet, dass aufgezeichnet wird, wer wann mit wem kommuniziert über welches Gerät, an welchem Ort, Daten also, die sich rund um die Nachricht drehen, aber nicht den Inhalt. Man kann mit ziemlicher Sicherheit ausgehen, dass WhatsApp diese sammelt und auch weitergibt/verarbeitet, da es sich um eine kostenlose, werbefreie App mit Millionen Nutzern handelt, deren Geschäftsmodell rein die Daten sind.;_slide_;Der ehemalige NSA-Chefanwalt Stewart Baker sagte einmal, dass man bei genug Metadaten gar keinen Inhalt mehr benötige, um alles über das Leben eines Menschen zu wissen.;Der ehemalige Leiter von NSA und CIA Michael Hayden bestätigte dies und sagte sogar: "Wir töten Leute basierend auf Metadaten.";_slide_;Bei den Gesetzen der USA kann man davon ausgehen, dass das in den USA sitzende WhatsApp seine Metadaten permanent dem NSA übermittelt oder sogar eine Hintertür eingebaut hat. (Siehe auch Kurs: Messaging-Apps);_slide_;Um zu verhindern, dass Persönlichkeitsprofile von einem erstellt werden, lohnt es sich also, möglichst viel über andere Messanger zu kommunizieren. Bei der Wahl sollten einige Punkte bedacht werden:;Opensourcesoftware;von der Crypto-Community aktzeptierte Kryptographie;ein Geschäftsmodell, welches nicht auf Daten basiert;Vertrauenswürdige Entwickler und Betreiber;Es gibt noch einige Aspekte mehr, jedoch sind dies die wichtigsten.;_slide_;Der Messenger, der diesen Kriterien am besten entspricht ist bisher Signal, weshalb er wohl auch von Snowden empfohlen wird.;Interessant sein könnten z.B auch XMPP (ein Protokoll, welches mit verschiedenen Programmen genutzt werden kann), Threema (nicht kostenlos, deshalb auch nicht Opensource), oder Wire (unklar, welches Geschäftsmodell verfolgt wird).;;;;;;;;;;;;;;;;;;
Daily Lessons;Blippy;Info;0;2;4;-99;Teilst du gerne Informationen mit deinen Bekannten? Ja? Und wie sieht es mit deinen Einkäufen über deine Kreditkarte aus? Wohl eher nicht. Aber genau das macht das Tool "Blippy".;_slide_;Meldet man sich bei dem Dienst an, wird man zunächst nach seiner Kreditkartennummer und Zugangsdaten zu verschiedenen Online Shops (bspw. Amazon) gefragt.;Danach werden alle getätigten Einkäufe auf der Website veröffentlicht. Und warum das Ganze?;_slide_;Über die Kommentarfunktion können andere Nutzer den Einkauf bewerten. Z.B., ob das Schnäppchen wirklich eins war. Oder sie können Glückwunsch und Mitleid bekunden.;Wir finden: Ziemlich absurd (und in keinster Weise Privatsphären-tauglich)!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daily Lessons;Buchempfehlung: Das Joshua-Profil;Info;0;2;5;-99;Das Joshua-Profil von Sebastian Fitzek; ;Der erfolglose Schriftsteller Max ist ein gesetzestreuer Bürger. Anders als sein Bruder Cosmo, der in der Sicherheitsverwahrung einer psychiatrischen Anstalt sitzt, hat Max sich noch niemals im Leben etwas zuschulden kommen lassen.;_slide_;Doch in wenigen Tagen wird er eines der entsetzlichsten Verbrechen begehen, zu denen ein Mensch überhaupt fähig ist. Nur, dass er heute noch nichts davon weiß ... im Gegensatz zu denen, die ihn töten wollen, bevor es zu spät ist.;_slide_;Viele Unternehmen erstellen Benutzerprofile ihrer Kunden für die verschiedensten Anwendungsfälle.;Aber was, wenn diese Fälle auf einmal gefährlich werden? Ein spannender Thriller, der mit einem Paukenschlag darauf aufmerksam macht, welche Daten über uns gesammelt werden und wie diese genutzt werden können.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daily Lessons;Buchempfehlung: Inside Wikileaks;Info;0;2;7;-99;"Inside Wikileaks: Meine Zeit bei der gefährlichsten Website der Welt" von Daniel Domscheit-Berg; ;Das Buch ist eine Autobiografie eines ehemaligen Mitarbeiters von Wikileaks, der unter dem Pseudonym Daniel Schmitt auch als Sprecher der Website auftrat.;_slide_;Es behandelt viele verschiedene Einblicke in die Zeit des Autors, während er bei Wikileaks tätig war und erstreckt sich von moralischen Konflikten bis hin zur Gefahr, die von Wikileaks für seine Whistleblower ausgeht bis hin zur Gefahr die Wikileaks nach Außen darstellt.;Das Buch wurde auch verfilmt im gleichnamigen Film "Inside Wikileaks - Die fünfte Gewalt" und ein Blick in das eine oder andere lohnt sich defintiv.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daily Lessons;Edward Snowden;Info;0;2;6;-99;Ein Whistleblower der, auch heute noch immer wieder, in aller Munde ist.;Bekannt wurde der ehemalige CIA-Mitarbeiter durch seine Enthüllungen von Spionage- und Überwachungstätigkeiten von Geheimdiensten weltweit. Er gab geheime Informationen an einen Journalisten vom The Guardian weiter, welcher diese nach und nach in Teilen veröffentlichte.;_slide_;Interessant ist vor allem seine Motivation, die Informationen zu teilen. "Ich möchte nicht in einer Welt leben, in der alles, was ich tue und sage, aufgezeichnet wird. Solche Bedingungen bin ich weder bereit zu unterstützen, noch will ich unter solchen leben." Außerdem erachtet er die Arbeit der Geheimdienste als gefährlicher, als das was sie mit ihrem Vorgehen vermeintlich verhindern wollen würden.;_slide_;Wir empfehlen: https://theintercept.com/2016/03/30/edward-snowden-noam-chomsky-glenn-greenwald-a-conversation-on-privacy/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daily Lessons;Glenn Greenwald;Info;0;2;13;-99;Glenn Greenwald ist Journalist. Er arbeitete 2013 zusammen mit Edward Snowden an der Veröffentlichung geheimer Informationen verschiedener Geheimdienste, insbesondere der NSA.;Seine Aufbereitung wurde im The Guardian zusammen mit einem Interview Snowdens veröffentlicht und seither zählt er als einer der Hauptakteure in diesem Zusammenhang.;_slide_;Er ist Mitgründer des Online Mediums The Intercept, das sich hauptsächlich mit einer Weiterverarbeitung der Daten von Snowden beschäftigt. The Intercept hat es sich zur Aufgabe gemacht, die Pressefreiheit zu wahren und bearbeitet vor allem riskante Themen wie Korruption, Verletzung von Bürgerrechten sowie Justizmissbrauch.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daily Lessons;Hillary Clintons E-Mail Affaire;Info;0;2;10;-99;Sie hat die Wahl verloren. Viele Menschen aus der ganzen Welt bedauern dies. Ein potenzieller Hauptgrund, dass Hillary Clinton nicht die neue Präsidentin der Vereinigten Staaten von Amerika wird, ist ihre E-Mail Affaire.;Aber was verbirgt sich eigentlich dahinter und warum ist es so relevant?;_slide_;Als Außenministerin hat Hillary Clinton eine private E-Mail Adresse verwendet, um zu kommunizieren. Auch für ihr Amt. Ein Problem ist das, weil die E-Mails über einen privaten Server liefen und nicht ausgeschlossen werden kann, dass so relevante Informationen heimlich blieben.;_slide_;Wären die E-Mails über einen behördlichen Server gelaufen, könnte sichergestellt werden, dass nichts unrechtes mit den Mails passiert ist.;Dies ist aber nicht der Fall. Doch direkt angreifbar macht sich Clinton damit auch nicht, denn während ihrer Amtszeit gab es noch kein verbindliches Gesetz zur Offenlegung der Kommunikation, lediglich eine Übermittlung zur externen Sicherung an die Behörde war verpflichtend.;_slide_;Im Wahlkampf haben es sich vor allem politische Gegner zur Aufgabe gemacht, diese E-Mails zu durchsuchen, um kritisches Material aufzuspüren, nachdem Wikileaks diese veröffentlichte. Im Wahlkampf plädierte Trump dagegen immer wieder, er würde alles von sich preisgeben und kritisierte Clinton für ihr "Vergehen" hart.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daily Lessons;Julian Assange;Info;0;2;8;-99;Julian Assange ist ein Name, den man vor allem mit einem verbindet: Wikileaks.;Assange ist Australier, lebt aber zur Zeit in London in der Botschaft von Ecuador. Dort hat er Mitte 2012 um politisches Asyl gebeten, da er von England an Schweden ausgeliefert worden wäre, nachdem dort Vergewaltigungsvorwürfe gegen ihn erhoben wurden.;_slide_;Auch in den USA gibt es einen Haftbefehl gegen ihn, ein weiterer Grund weshalb er sich politisches Asyl sicherte. Die USA stufen ihn als Bedrohung der nationalen Sicherheit ein. Dies ist dem geschuldet, dass Assange zusammen mit Wikileaks viele geheime Dokumente veröffentlicht hat, insbesondere solche der US Armee und - Behörden.;_slide_;Viele diese Dokumente enthielten kritische Inhalte zum Thema Krieg im  Irak und in Afghanistan. Als politischer Aktivist vertritt er Transparenz, Verantwortung und Gerechtigkeit.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daily Lessons;Noam Chomsky;Info;0;2;9;-99;Mit Noam Chomsky schließt sich der Kreis um die Personen, die an der Debatte "A Conversation on Privacy" teilgenommen haben. Wenn du dir das Video angeschaut hast, das wir zu Edward Snowden empfohlen haben, bist du bestens vorbereitet.;Noam Chomsky hat an dieser Gesprächsrunde ebenfalls teilgenommen, ebenso wie Glenn Greenwald.;_slide_;Die Themen dieser Diskussion lagen auf dem Spagat zwischen nationaler Sicherheit und dem Eingriff von Regierungen in die Privatsphäre ihrer Bürger. Was hat Chomsky damit zu tun?;_slide_;Noam Chomsky ist ein sehr populärer Linguist und hat unter anderem mit seiner Theorie der Universalsprache einige Lehren ins wanken gebracht, insbesondere den Behaviorismus.;Er ist ein bekennender Gegner der US-Politik. Insbesondere ist er sogar bei der CIA aktenkundig, da er sehr offen mit seiner liberalen Meinung um geht.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
